"#OTU ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"9be8b049ed6a3b310ed006a085f87a3d"	100	100	100	100	100	100	100
"2f765b429112a8955214639d369f5bc3"	100	100	100	100	100	100	100
"29746a83008bf2feb4d3f6686294d63d"	100	100	100	100	100	100	100
"bdcc3edcaa1d4826a8722050b02c5c0d"	100	100	100	100	100	100	100
"f7a7660b5956d2c8b6c4620f6742e93f"	100	100	100	100	100	100	100
"cebaf44d8d25a427621b83dfe26d1fae"	100	100	100	100	100	100	100
"c0a3a850cf76e2aa58a43cbc34bfab17"	100	100	100	100	100	100	100
"5cb508bbc201c324fadf4588199d59de"	100	100	100	100	100	100	100
"d4429d1a4f140d691c3b8c69bb4cfc7b"	100	100	100	100	100	100	100
"bdcb53bddf6dfdc71b354f606c0d30e5"	100	100	100	100	100	100	100
"14499839ddf8fdda3cf28068d54ee9b2"	100	100	100	100	100	100	100
"d37478a03ea97ca56f696c053c10e0da"	100	100	100	100	100	100	100
"a98da681530806b930ca246d737f9aef"	100	100	100	100	100	100	100
"74857be5b86518770b90a190cc31989c"	100	100	100	100	100	100	100
"f3e513bcb41db0db9bf44a046ed65825"	100	100	100	100	100	100	100
"44125dccf9572c9a0c60944da3c3c46b"	100	100	100	100	100	100	100
"4106a21d5a79c93c3c8b74d3dd028ebe"	100	100	100	100	100	100	100
"141e9893ed597e82e22ebdd0ea9d7631"	100	100	100	100	100	100	100
"319834c7049da17eaab776884a97550c"	100	100	100	100	100	100	73
"0b637cfc98b929253f835b2f45d6afa0"	100	100	100	100	100	100	100
"e1c2b2ff301ca7f8e92a6679e589b4f2"	100	100	100	100	100	100	69
"e758d89fef01b59f5ef605e20b2333e5"	100	100	100	100	100	100	100
"cd7b417dae3e2bad9aa07d42bffec53a"	100	100	100	100	100	100	100
"adab035e3fde32623fcca1a8c65624fe"	100	100	100	100	100	100	100
"0584083912e249cf3d86bb54bc70b21d"	100	100	100	100	100	100	99
"39e49195a19c956beac3c1db1af27b22"	100	100	100	100	100	100	100
"e4b58a8348a444655fe5caaa809941b9"	100	100	100	100	100	100	68
"5d364ddb971c5f160b1249b6c30f3716"	100	100	100	100	100	100	100
"54d9a8d6ac9e8972135464fb047a3836"	100	100	100	99	71	68	68
"d73894b05120b78ac915d2cc0b4a535c"	100	100	100	100	100	100	100
"d9daaab50246cf74cf69ad7c4f90ed26"	100	100	100	100	100	100	100
"c91c0fd643275ab5f846081d4880f71a"	100	100	100	100	100	100	100
"650a09db2449df311c616c29dec33f19"	100	100	100	100	100	100	100
"5949c380d785869f9ed9a1ee72002115"	100	100	100	100	100	100	100
"1535060bd0b2f622e1f1a38ab8df73a7"	100	100	100	100	100	100	100
"3fa450135a955624c3de8f1a9cedd4e1"	100	100	100	100	100	100	100
"f708164c3317f0e12d1ee04d84aaa1d1"	100	100	100	100	100	100	100
"6df022cb0d8c0c4383119ed70c7eacae"	100	100	100	100	100	100	100
"ec320d56d1bea3b8fee6aea565157fa4"	100	100	100	100	100	100	100
"128c2172630696b14714e5dafa8510d2"	100	100	100	100	100	100	86
"cf879cb13916a1d2cf6e603316d6f1ee"	100	100	100	100	100	100	100
"5e474e8bc0602b9aae878e31a3fceef8"	100	100	100	100	100	100	100
"e7b0c61fc78df8147b5b72361815edc0"	100	100	100	100	100	100	69
"5216ba5735b795ce0226c5e63f68294f"	100	100	100	100	100	100	100
"e934c73f0a3648c9eb456a88cffdf521"	100	100	100	100	100	100	99
"6739adf2fa6cc2e0cd8e85623a243076"	100	100	100	100	100	100	100
"0e0a558b044b93a493d9de3905ca7bac"	100	100	100	100	100	100	100
"b2bbb0ce1ad53b9de98410586157875a"	100	100	100	100	100	100	100
"40287467a75e60041da87a0f4e52a1c0"	100	100	100	100	100	100	100
"65beee32459bab35f03ae1373bf9c57d"	100	100	100	100	100	100	98
"37b5d3e59b68c4127f1f2971f111bc50"	100	100	100	100	100	100	100
"94060ac6a95ffee4c2b64f013f4db391"	100	100	100	100	100	100	71
"333ab9288d3708d4f281d48fc97add3d"	100	100	100	100	100	100	100
"1e7ecc4e6e452d1916eabd9a1f27e588"	100	100	100	100	100	100	96
"13f0efe72eb854b709a79f4a0d6830d8"	100	100	100	100	100	100	100
"c94b6ab3d2d537935ffeaba0382445d2"	100	100	100	100	100	100	100
"95eaa2e70188d4344e975e60372ba1a0"	100	100	100	100	100	100	100
"ebd68a80a58ff6e84fc0968bc7c60fda"	100	100	100	100	100	100	100
"81d8697d2f8e0ba208f2d56f3abc37be"	100	100	100	100	100	100	100
"a0a8571471aa0bef73bcd92de9e5a3f4"	100	100	100	100	100	100	100
"1e6f909f93fa406b80f1431a0bd83a7f"	100	100	100	100	100	100	100
"8e46a756516a07b8e3854c6428b35667"	100	100	100	100	100	100	100
"84895eedb0986d8830f1b60cf9675bde"	100	100	100	100	100	100	100
"df226b6298fdfa46ef051400deb6170a"	100	100	100	100	100	100	100
"19b16bb9147733e1f73320b72c36a00e"	100	100	100	100	100	100	100
